payeeNameOrganization,filerName,2018,2019,2020,2021,2022,2023,2024,Total
Total,,151560.0,34530.0,214244.49,15323.06,129380.0,546907.95,129534.47,1221479.97
"Potomac Strategy Group, LLC",Keep Round Rock Safe,,,,,,462587.2,17836.61,480423.81
"Potomac Strategy Group, LLC","Flores, Peter P. (Mr.)",122000.0,27000.0,,,,,,149000.0
" Potomac Strategy Group, LLC",Fight for Tomorrow,,,,,82000.0,50000.0,,132000.0
"Potomac Strategy Group, LLC","Golemon Sr., William S. (Mr.)",,,128967.03,,,,,128967.03
"Potomac Strategy Group, LLC",Save Austin Now PAC,,,,15323.06,25500.0,29360.0,50879.54,121062.6
Potomac Strategy Group LLC,"Popp, Lani A. (Mrs.)",,,67247.46,,,,,67247.46
"Potomac Strategy Group, LLC","Chambers, Kenneth R. (Mr.)",,,,,,,51572.07,51572.07
Potomac Strategies,"Johnson, Victor A. (Mr.)",,,,,13920.0,,,13920.0
"Potomac Strategy Group, LLC","The Real Estate Council of Austin, Inc. Advancing Democracy PAC",13500.0,,,,,,,13500.0
Potomac Strategy Group,"Strieber, Bill",,,10000.0,,,,,10000.0
Potomac Strategy Group,"Leach, Jeff C. (The Honorable)",,,8000.0,,,,,8000.0
Potomac Strategy Group LLC,"Rangel, Freddie A. (Mr.)",,7500.0,,,,,,7500.0
Potomac Strategy Group LLC,"Blocker, Trey J. (Mr.)",7500.0,,,,,,,7500.0
Potomac Strategy Group,"Johnson, Victor A. (Mr.)",,,,,6750.0,,,6750.0
Potomac Strategy Group LLC,"Chambers, Kenneth R. (Mr.)",,,,,,1308.75,3866.25,5175.0
Potomac Strategy Group,"Firsing, Scott T. (Mr.)",,,,,,,5000.0,5000.0
"Potomac Strategy Group, LLC","Paxton Jr., W. Kenneth (The Honorable)",4000.0,,,,,,,4000.0
"Potomac Strategy Group, LLC",Texas Medical Association Political Action Committee,3000.0,,,,,,,3000.0
"Potomac Strategy Group, LLC",Texas Federation of Republican Women PAC,,,,,,1902.0,,1902.0
Potomac Strategy Group,Texas Federation of Republican Women PAC,,,,,,1750.0,,1750.0
Potomac Strategy Group,"Ellison, Lynn (The Honorable)",1300.0,,,,,,,1300.0
"Potomac Strategy Group, LLC",Travis County Republican Party (CEC),,,,,1210.0,,,1210.0
Potomac Strategy Group,"Evans, Michelle L. (Mrs.)",,,,,,,250.0,250.0
Potomac Strategy Group,Texans for Doug Miller,100.0,,,,,,,100.0
Potomac Strategy Group,"Hunter, Todd A. (The Honorable)",100.0,,,,,,,100.0
"Potomac Strategy Group, LLc",Texas Strong Republican Women,,,,,,,100.0,100.0
Potomac Strategy Group,"Perry, Charles L. (The Honorable)",60.0,30.0,,,,,,90.0
"Potomac Stategy Group, LLC","Hayes, Richard D. (The Honorable)",,,,,,,30.0,30.0
Potomac Strategy Group,Workman for Texas,,,30.0,,,,,30.0
