,recordType,formTypeCd,schedFormTypeCd,reportInfoIdent,receivedDt,infoOnlyFlag,filerIdent,filerTypeCd,filerName,expendInfoId,expendDt,expendAmount,expendDescr,expendCatCd,expendCatDescr,itemizeFlag,travelFlag,politicalExpendCd,reimburseIntendedFlag,srcCorpContribFlag,capitalLivingexpFlag,payeePersentTypeCd,payeeNameOrganization,payeeNameLast,payeeNameSuffixCd,payeeNameFirst,payeeNamePrefixCd,payeeNameShort,payeeStreetAddr1,payeeStreetAddr2,payeeStreetCity,payeeStreetStateCd,payeeStreetCountyCd,payeeStreetCountryCd,payeeStreetPostalCode,payeeStreetRegion,creditCardIssuer,repaymentDt,file_origin
2175,EXPN,CEC,F1,100701316,20180226,N,00039023,CEC,Travis County Republican Party (CEC),103451675,2018-01-02,97.80,Online payment processing fee,FUNDRAISE,,Y,N,Y,N,N,,ENTITY,Anedot,,,,,,PO Box 84314,,Baton Rouge,LA,,USA,70884,,,,expend_07_20250211dl
2176,EXPN,CEC,F1,100701316,20180226,N,00039023,CEC,Travis County Republican Party (CEC),103451676,2018-01-02,195.30,Online payment processing fee,FUNDRAISE,,Y,N,Y,N,N,,ENTITY,Anedot,,,,,,PO Box 84314,,Baton Rouge,LA,,USA,70884,,,,expend_07_20250211dl
2177,EXPN,CEC,F1,100701316,20180226,N,00039023,CEC,Travis County Republican Party (CEC),103451677,2018-01-02,38.40,office supplies,OVERHEAD,,Y,N,Y,N,N,,ENTITY,Office Depot,,,,,,4501 W Braker Ln,,Austin,TX,,USA,78759,,,,expend_07_20250211dl
2178,EXPN,CEC,F1,100701316,20180226,N,00039023,CEC,Travis County Republican Party (CEC),103451678,2018-01-02,37.50,Postage for invitations,FUNDRAISE,,Y,N,Y,N,N,,ENTITY,USPS,,,,,,3575 Far West Blvd,,Austin,TX,,USA,78731,,,,expend_07_20250211dl
2179,EXPN,CEC,F1,100701316,20180226,N,00039023,CEC,Travis County Republican Party (CEC),103451679,2018-01-02,447.97,Invitation to Chairman's Circle,PRINTING,,Y,N,Y,N,N,,ENTITY,Vistaprint,,,,,,95 Hayden Ave,,Lexington,MA,,USA,02421,,,,expend_07_20250211dl
2180,EXPN,CEC,F1,100701316,20180226,N,00039023,CEC,Travis County Republican Party (CEC),103451680,2018-01-04,187.38,Mailing invitation,FUNDRAISE,,Y,N,Y,N,N,,ENTITY,Texas Mailhouse,,,,,,8606 Wall St,,Austin,TX,,USA,78754,,,,expend_07_20250211dl
2181,EXPN,CEC,F1,100701316,20180226,N,00039023,CEC,Travis County Republican Party (CEC),103451681,2018-01-08,55.00,Mail list management,ADVERTISE,,Y,N,Y,N,N,,ENTITY,MailChimp,,,,,,675 Ponce de Leon Ave NE,Suite 5000,Atlanta,GA,,USA,30308,,,,expend_07_20250211dl
2182,EXPN,CEC,F1,100701316,20180226,N,00039023,CEC,Travis County Republican Party (CEC),103451682,2018-01-09,225.16,Postage for invitations,FUNDRAISE,,Y,N,Y,N,N,,ENTITY,USPS,,,,,,3575 Far West Blvd,,Austin,TX,,USA,78731,,,,expend_07_20250211dl
2183,EXPN,CEC,F1,100701316,20180226,N,00039023,CEC,Travis County Republican Party (CEC),103451683,2018-01-11,23.70,Online payment processing fee,FUNDRAISE,,Y,N,Y,N,N,,ENTITY,Anedot,,,,,,PO Box 84314,,Baton Rouge,LA,,USA,70884,,,,expend_07_20250211dl
2184,EXPN,CEC,F1,100701316,20180226,N,00039023,CEC,Travis County Republican Party (CEC),103451684,2018-01-11,195.30,Online payment processing fee,FUNDRAISE,,Y,N,Y,N,N,,ENTITY,Anedot,,,,,,PO Box 84314,,Baton Rouge,LA,,USA,70884,,,,expend_07_20250211dl
2185,EXPN,CEC,F1,100701316,20180226,N,00039023,CEC,Travis County Republican Party (CEC),103451685,2018-01-12,270.63,Donor name tags,EVENT,,Y,N,Y,N,N,,ENTITY,Lone Star Awards,,,,,,5201 N Lamar Blvd,,Austin,TX,,USA,78751,,,,expend_07_20250211dl
