,recordType,formTypeCd,schedFormTypeCd,reportInfoIdent,receivedDt,infoOnlyFlag,filerIdent,filerTypeCd,filerName,expendInfoId,expendDt,expendAmount,expendDescr,expendCatCd,expendCatDescr,itemizeFlag,travelFlag,politicalExpendCd,reimburseIntendedFlag,srcCorpContribFlag,capitalLivingexpFlag,payeePersentTypeCd,payeeNameOrganization,payeeNameLast,payeeNameSuffixCd,payeeNameFirst,payeeNamePrefixCd,payeeNameShort,payeeStreetAddr1,payeeStreetAddr2,payeeStreetCity,payeeStreetStateCd,payeeStreetCountyCd,payeeStreetCountryCd,payeeStreetPostalCode,payeeStreetRegion,creditCardIssuer,repaymentDt,file_origin
1,EXPN,GPAC,F1,100817634,20210401,Y,00085302,GPAC,Save Austin Now PAC,104448161,2021-03-22,30000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
2,EXPN,GPAC,F1,100817634,20210401,Y,00085302,GPAC,Save Austin Now PAC,104448162,2021-03-19,30000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
3,EXPN,GPAC,F1,100817634,20210401,Y,00085302,GPAC,Save Austin Now PAC,104448163,2021-03-15,25000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
4,EXPN,GPAC,F1,100817634,20210401,Y,00085302,GPAC,Save Austin Now PAC,104448164,2021-03-10,20000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
5,EXPN,GPAC,F1,100817634,20210401,Y,00085302,GPAC,Save Austin Now PAC,104448165,2021-03-03,20000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
6,EXPN,GPAC,F1,100817634,20210401,Y,00085302,GPAC,Save Austin Now PAC,104448166,2021-03-02,40000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
7,EXPN,GPAC,F1,100817634,20210401,Y,00085302,GPAC,Save Austin Now PAC,104448167,2021-02-26,25000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
8,EXPN,GPAC,F1,100817634,20210401,Y,00085302,GPAC,Save Austin Now PAC,104448169,2021-02-23,25000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
9,EXPN,GPAC,F1,100817634,20210401,Y,00085302,GPAC,Save Austin Now PAC,104448170,2021-02-18,25000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
10,EXPN,CORPAC,F1,100819277,20210420,Y,00085302,GPAC,Save Austin Now PAC,104450451,2021-03-22,30000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
11,EXPN,CORPAC,F1,100819277,20210420,Y,00085302,GPAC,Save Austin Now PAC,104450452,2021-03-19,30000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
12,EXPN,CORPAC,F1,100819277,20210420,Y,00085302,GPAC,Save Austin Now PAC,104450453,2021-03-15,25000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
13,EXPN,CORPAC,F1,100819277,20210420,Y,00085302,GPAC,Save Austin Now PAC,104450454,2021-03-10,20000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
14,EXPN,CORPAC,F1,100819277,20210420,Y,00085302,GPAC,Save Austin Now PAC,104450455,2021-03-03,20000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
15,EXPN,CORPAC,F1,100819277,20210420,Y,00085302,GPAC,Save Austin Now PAC,104450456,2021-03-02,40000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
16,EXPN,CORPAC,F1,100819277,20210420,Y,00085302,GPAC,Save Austin Now PAC,104450457,2021-02-26,25000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
17,EXPN,CORPAC,F1,100819277,20210420,Y,00085302,GPAC,Save Austin Now PAC,104450458,2021-02-23,25000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
18,EXPN,CORPAC,F1,100819277,20210420,Y,00085302,GPAC,Save Austin Now PAC,104450459,2021-02-18,25000.00,Voter Identification Efforts,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
19,EXPN,GPAC,F1,100819302,20210423,Y,00085302,GPAC,Save Austin Now PAC,104450788,2021-04-19,160569.10,Voter contact,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
20,EXPN,GPAC,F1,100819302,20210423,Y,00085302,GPAC,Save Austin Now PAC,104451030,2021-04-13,75000.00,Voter contact,FUNDRAISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
21,EXPN,CEC,F1,100819533,20210422,N,00039023,CEC,Travis County Republican Party (CEC),104451402,2021-04-16,1818.00,GOTV Texts- Eanes ISD Area,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
22,EXPN,GPAC,F1,100819302,20210423,Y,00085302,GPAC,Save Austin Now PAC,104453174,2021-04-02,50000.00,voter contact,FUNDRAISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
23,EXPN,GPAC,F1,100819302,20210423,Y,00085302,GPAC,Save Austin Now PAC,104453271,2021-03-29,25000.00,Voter Contact,FUNDRAISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
24,EXPN,GPAC,F1,100819302,20210423,Y,00085302,GPAC,Save Austin Now PAC,104453280,2021-03-26,20000.00,Voter contact,FUNDRAISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
25,EXPN,GPAC,F1,100819302,20210423,Y,00085302,GPAC,Save Austin Now PAC,104453434,2021-04-21,6090.00,voter contact,FUNDRAISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_09_20250211dl
26,EXPN,CEC,F1,100829139,20210713,N,00039023,CEC,Travis County Republican Party (CEC),104506759,2021-04-30,488.51, Robocalls/Texts in support of Nigel Stout for School Board.,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Strategic,,,,,,18079 Brick Mill Run,,Stongsville,OH,,USA,44136,,,,expend_10_20250211dl
27,EXPN,GPAC,F1,100826407,20210715,Y,00085302,GPAC,Save Austin Now PAC,104527602,2021-06-28,24500.00,Ad design and placement,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
28,EXPN,CORPAC,F1,100832491,20210811,N,00085302,GPAC,Save Austin Now PAC,104544708,2021-06-28,24500.00,Voter Contact and Data Management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
29,EXPN,CORPAC,F1,100832492,20210811,N,00085302,GPAC,Save Austin Now PAC,104544853,2021-04-19,160569.10,Voter contact and data managment,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
30,EXPN,CORPAC,F1,100832492,20210811,N,00085302,GPAC,Save Austin Now PAC,104544894,2021-04-13,75000.00,Voter contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
31,EXPN,CORPAC,F1,100832492,20210811,N,00085302,GPAC,Save Austin Now PAC,104544921,2021-04-02,50000.00,voter contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
32,EXPN,CORPAC,F1,100832492,20210811,N,00085302,GPAC,Save Austin Now PAC,104544940,2021-03-29,25000.00,Voter Contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
33,EXPN,CORPAC,F1,100832492,20210811,N,00085302,GPAC,Save Austin Now PAC,104544945,2021-03-26,20000.00,Voter contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
34,EXPN,CORPAC,F1,100832492,20210811,N,00085302,GPAC,Save Austin Now PAC,104544967,2021-04-21,6090.00,voter contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
35,EXPN,CORPAC,F1,100832493,20210811,N,00085302,GPAC,Save Austin Now PAC,104545072,2021-03-22,30000.00,Voter Contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
36,EXPN,CORPAC,F1,100832493,20210811,N,00085302,GPAC,Save Austin Now PAC,104545073,2021-03-19,30000.00,Voter Contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
37,EXPN,CORPAC,F1,100832493,20210811,N,00085302,GPAC,Save Austin Now PAC,104545074,2021-03-15,25000.00,Voter Contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
38,EXPN,CORPAC,F1,100832493,20210811,N,00085302,GPAC,Save Austin Now PAC,104545075,2021-03-10,20000.00,Voter Contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
39,EXPN,CORPAC,F1,100832493,20210811,N,00085302,GPAC,Save Austin Now PAC,104545076,2021-03-03,20000.00,Voter Contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
40,EXPN,CORPAC,F1,100832493,20210811,N,00085302,GPAC,Save Austin Now PAC,104545077,2021-03-02,40000.00,Voter Contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
41,EXPN,CORPAC,F1,100832493,20210811,N,00085302,GPAC,Save Austin Now PAC,104545078,2021-02-26,25000.00,Voter Contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
42,EXPN,CORPAC,F1,100832493,20210811,N,00085302,GPAC,Save Austin Now PAC,104545079,2021-02-23,25000.00,Voter Contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
43,EXPN,CORPAC,F1,100832493,20210811,N,00085302,GPAC,Save Austin Now PAC,104545080,2021-02-18,25000.00,Voter Contact and data management,CONSULT,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
44,EXPN,SCCOH,F1,100853459,20220222,N,00082192,SCC,"Mackowiak, Matthew L. (Mr.)",104745388,2022-02-18,300.00,Robocalls,ADVERTISE,,Y,N,,N,N,N,ENTITY,WAB Holdings,,,,,,807 Brazos Street,,Austin,TX,,USA,78701,,,,expend_10_20250211dl
45,EXPN,GPAC,F1,100869577,20220715,N,00085302,GPAC,Save Austin Now PAC,104897929,2022-02-22,4800.00, Database management,POLLING,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
46,EXPN,GPAC,F1,100869577,20220715,N,00085302,GPAC,Save Austin Now PAC,104897934,2022-02-11,12500.00, Database management,POLLING,,Y,N,,N,N,N,ENTITY,WAB Holdings LLC,,,,,,18079 Brick Mill Run,,Strongsville,OH,,USA,44136,,,,expend_10_20250211dl
