Payee,Paid_By,Payment_Amount,Payment_Date,Payee_Type,Payee_Address,City_State_Zip,Payment_Year,Expenditure_Type,Date_Reported,Report_Filed,Expense_Description,Travel_Outside_Texas,Political_Obligation,Reimbursement_Intended,Correction,View_Report,TRANSACTION_ID,Single Member Council Districts,BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
Left Hand Design Austin,Fight for Austin,1732.00,12/04/2020,ENTITY,155 Meadow Slope Dr.,"Talent, OR, 97540",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Fee for designing promotional materials.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00005,,,,,
Mailchimp,Fight for Austin,143.91,11/16/2020,ENTITY,"675 Ponce de Leon Ave NE, Suite 5000","Atlanta, GA, 30308",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,FEES | Fee for email newsletter software to keep in touch with supporters.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00011,,,,,
VICTORY SOLUTION,Fight for Austin,31455.32,10/28/2020,ENTITY,19571 Progress Drive,"Strongsville, OH, 44149",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | Victory Solutions organized a call to Austin residents to inform about the FFA petition.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00002,,,,,
GODADDY.COM,Fight for Austin,79.99,11/10/2020,ENTITY,14455 N Hayden Rd,"Scottsdale, AZ, 85260",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,FEES | Fee for SaveAustinNow.com domain.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00007,,,,,
GODADDY.COM,Fight for Austin,24.45,11/05/2020,ENTITY,14455 N Hayden Rd,"Scottsdale, AZ, 85260",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,FEES | GoDaddy fee for holding the SaveAustinNow.com domain,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00012,,,,,
VICTORY SOLUTION,Fight for Austin,1487.20,11/17/2020,ENTITY,19571 Progress Drive,"Strongsville, OH, 44149",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | Fee for updating Austin residents on FFA petition progress.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00009,,,,,
GODADDY.COM,Fight for Austin,178.96,12/17/2020,ENTITY,14455 N Hayden Rd,"Scottsdale, AZ, 85260",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,FEES | Fee for website domain.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00010,,,,,
Mailchimp,Fight for Austin,143.91,12/16/2020,ENTITY,"675 Ponce de Leon Ave NE, Suite 5000","Atlanta, GA, 30308",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,FEES | Fee for email newsletter software to update FFA supporters.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00003,,,,,
VICTORY SOLUTION,Fight for Austin,10103.22,11/06/2020,ENTITY,19571 Progress Drive,"Strongsville, OH, 44149",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | Fee for another call to Austin residents to inform about FFA petition.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00008,,,,,
VICTORY SOLUTION,Fight for Austin,23762.80,11/10/2020,ENTITY,19571 Progress Drive,"Strongsville, OH, 44149",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | Fee for another call to Austin residents to inform about FFA petition.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00004,,,,,
